# stable_id|source|option_type|option_name|prerequisites|level_gained|class_associations|grant_value
class-artificer|Eberron|class|Artificer|None|0|Artificer|
ability-flurry-of-blows|Core|ability|Flurry of Blows|Catalog prerequisites|0|Any|
ability-patient-defense|Core|ability|Patient Defense|Catalog prerequisites|0|Any|
ability-step-of-the-wind|Core|ability|Step of the Wind|Catalog prerequisites|0|Any|
ability-deflect-attacks|Core|ability|Deflect Attacks|Catalog prerequisites|0|Any|
ability-slow-fall|Core|ability|Slow Fall|Catalog prerequisites|0|Any|
ability-stunning-strike|Core|ability|Stunning Strike|Catalog prerequisites|0|Any|
ability-empowered-strikes|Core|ability|Empowered Strikes|Catalog prerequisites|0|Any|
ability-evasion|Core|ability|Evasion|Catalog prerequisites|0|Any|
ability-acrobatic-movement|Core|ability|Acrobatic Movement|Catalog prerequisites|0|Any|
ability-heightened-focus|Core|ability|Heightened Focus|Catalog prerequisites|0|Any|
ability-self-restoration|Core|ability|Self-Restoration|Catalog prerequisites|0|Any|
ability-deflect-energy|Core|ability|Deflect Energy|Catalog prerequisites|0|Any|
ability-disciplined-survivor|Core|ability|Disciplined Survivor|Catalog prerequisites|0|Any|
ability-perfect-focus|Core|ability|Perfect Focus|Catalog prerequisites|0|Any|
ability-superior-defense|Core|ability|Superior Defense|Catalog prerequisites|0|Any|
ability-body-and-mind|Core|ability|Body and Mind|Catalog prerequisites|0|Any|
ability-paladin-s-smite|Core|ability|Paladin's Smite|Catalog prerequisites|0|Any|
ability-divine-sense|Core|ability|Divine Sense|Catalog prerequisites|0|Any|
ability-aura-of-protection|Core|ability|Aura of Protection|Catalog prerequisites|0|Any|
ability-faithful-steed|Core|ability|Faithful Steed|Catalog prerequisites|0|Any|
ability-abjure-foes|Core|ability|Abjure Foes|Catalog prerequisites|0|Any|
ability-aura-of-courage|Core|ability|Aura of Courage|Catalog prerequisites|0|Any|
ability-radiant-strikes|Core|ability|Radiant Strikes|Catalog prerequisites|0|Any|
ability-restoring-touch|Core|ability|Restoring Touch|Catalog prerequisites|0|Any|
ability-favored-enemy|Core|ability|Favored Enemy|Catalog prerequisites|0|Any|
ability-deft-explorer|Core|ability|Deft Explorer|Catalog prerequisites|0|Any|
ability-roving|Core|ability|Roving|Catalog prerequisites|0|Any|
ability-tireless|Core|ability|Tireless|Catalog prerequisites|0|Any|
ability-nature-s-veil|Core|ability|Nature's Veil|Catalog prerequisites|0|Any|
ability-relentless-hunter|Core|ability|Relentless Hunter|Catalog prerequisites|0|Any|
ability-precise-hunter|Core|ability|Precise Hunter|Catalog prerequisites|0|Any|
ability-foe-slayer|Core|ability|Foe Slayer|Catalog prerequisites|0|Any|
ability-thieves-cant|Core|ability|Thieves' Cant|Catalog prerequisites|0|Any|
ability-cunning-action|Core|ability|Cunning Action|Catalog prerequisites|0|Any|
ability-steady-aim|Core|ability|Steady Aim|Catalog prerequisites|0|Any|
ability-cunning-strike|Core|ability|Cunning Strike|Catalog prerequisites|0|Any|
ability-uncanny-dodge|Core|ability|Uncanny Dodge|Catalog prerequisites|0|Any|
ability-reliable-talent|Core|ability|Reliable Talent|Catalog prerequisites|0|Any|
ability-improved-cunning-strike|Core|ability|Improved Cunning Strike|Catalog prerequisites|0|Any|
ability-slippery-mind|Core|ability|Slippery Mind|Catalog prerequisites|0|Any|
ability-elusive|Core|ability|Elusive|Catalog prerequisites|0|Any|
ability-stroke-of-luck|Core|ability|Stroke of Luck|Catalog prerequisites|0|Any|
ability-innate-sorcery|Core|ability|Innate Sorcery|Catalog prerequisites|0|Any|
ability-sorcerous-restoration|Core|ability|Sorcerous Restoration|Catalog prerequisites|0|Any|
ability-sorcery-incarnate|Core|ability|Sorcery Incarnate|Catalog prerequisites|0|Any|
ability-arcane-apotheosis|Core|ability|Arcane Apotheosis|Catalog prerequisites|0|Any|
ability-magical-cunning|Core|ability|Magical Cunning|Catalog prerequisites|0|Any|
ability-contact-patron|Core|ability|Contact Patron|Catalog prerequisites|0|Any|
ability-mystic-arcanum|Core|ability|Mystic Arcanum|Catalog prerequisites|0|Any|
ability-eldritch-master|Core|ability|Eldritch Master|Catalog prerequisites|0|Any|
ability-spellbook|Core|ability|Spellbook|Catalog prerequisites|0|Any|
ability-ritual-adept|Core|ability|Ritual Adept|Catalog prerequisites|0|Any|
ability-arcane-recovery|Core|ability|Arcane Recovery|Catalog prerequisites|0|Any|
ability-scholar|Core|ability|Scholar|Catalog prerequisites|0|Any|
ability-memorize-spell|Core|ability|Memorize Spell|Catalog prerequisites|0|Any|
ability-spell-mastery|Core|ability|Spell Mastery|Catalog prerequisites|0|Any|
ability-signature-spells|Core|ability|Signature Spells|Catalog prerequisites|0|Any|
ability-tinker-s-magic|Core|ability|Tinker's Magic|Catalog prerequisites|0|Any|
ability-replicate-magic-item|Core|ability|Replicate Magic Item|Catalog prerequisites|0|Any|
ability-right-tool-for-the-job|Core|ability|Right Tool for the Job|Catalog prerequisites|0|Any|
ability-flash-of-genius|Core|ability|Flash of Genius|Catalog prerequisites|0|Any|
ability-magic-item-adept|Core|ability|Magic Item Adept|Catalog prerequisites|0|Any|
ability-magic-item-savant|Core|ability|Magic Item Savant|Catalog prerequisites|0|Any|
ability-magic-item-master|Core|ability|Magic Item Master|Catalog prerequisites|0|Any|
ability-soul-of-artifice|Core|ability|Soul of Artifice|Catalog prerequisites|0|Any|
spell-acid-arrow|Core|spell|Acid Arrow|Spell level 2|2|Wizard|
spell-acid-splash|Core|spell|Acid Splash|Spell level 0|0|Sorcerer, Wizard|
spell-aid|Core|spell|Aid|Spell level 2|2|Bard, Cleric, Druid, Paladin, Ranger|
spell-alarm|Core|spell|Alarm|Spell level 1|1|Ranger, Wizard|
spell-alter-self|Core|spell|Alter Self|Spell level 2|2|Sorcerer, Wizard|
spell-animal-friendship|Core|spell|Animal Friendship|Spell level 1|1|Bard, Druid, Ranger|
spell-animal-messenger|Core|spell|Animal Messenger|Spell level 2|2|Bard, Druid, Ranger|
spell-animal-shapes|Core|spell|Animal Shapes|Spell level 8|8|Druid|
spell-animate-dead|Core|spell|Animate Dead|Spell level 3|3|Cleric, Wizard|
spell-animate-objects|Core|spell|Animate Objects|Spell level 5|5|Bard, Sorcerer, Wizard|
spell-antilife-shell|Core|spell|Antilife Shell|Spell level 5|5|Druid|
spell-antimagic-field|Core|spell|Antimagic Field|Spell level 8|8|Cleric, Wizard|
spell-antipathy-sympathy|Core|spell|Antipathy/Sympathy|Spell level 8|8|Bard, Druid, Wizard|
spell-arcane-eye|Core|spell|Arcane Eye|Spell level 4|4|Wizard|
spell-arcane-hand|Core|spell|Arcane Hand|Spell level 5|5|Sorcerer, Wizard|
spell-arcane-lock|Core|spell|Arcane Lock|Spell level 2|2|Wizard|
spell-arcane-sword|Core|spell|Arcane Sword|Spell level 7|7|Bard, Wizard|
spell-arcanist-s-magic-aura|Core|spell|Arcanist's Magic Aura|Spell level 2|2|Wizard|
spell-astral-projection|Core|spell|Astral Projection|Spell level 9|9|Cleric, Warlock, Wizard|
spell-augury|Core|spell|Augury|Spell level 2|2|Cleric, Druid, Wizard|
spell-aura-of-life|Core|spell|Aura of Life|Spell level 4|4|Cleric, Paladin|
spell-awaken|Core|spell|Awaken|Spell level 5|5|Bard, Druid|
spell-bane|Core|spell|Bane|Spell level 1|1|Bard, Cleric, Warlock|
spell-banishment|Core|spell|Banishment|Spell level 4|4|Cleric, Paladin, Sorcerer, Warlock, Wizard|
spell-barkskin|Core|spell|Barkskin|Spell level 2|2|Druid, Ranger|
spell-beacon-of-hope|Core|spell|Beacon of Hope|Spell level 3|3|Cleric|
spell-befuddlement|Core|spell|Befuddlement|Spell level 8|8|Bard, Druid, Warlock, Wizard|
spell-bestow-curse|Core|spell|Bestow Curse|Spell level 3|3|Bard, Cleric, Wizard|
spell-black-tentacles|Core|spell|Black Tentacles|Spell level 4|4|Wizard|
spell-blade-barrier|Core|spell|Blade Barrier|Spell level 6|6|Cleric|
spell-bless|Core|spell|Bless|Spell level 1|1|Cleric, Paladin|
spell-blight|Core|spell|Blight|Spell level 4|4|Druid, Sorcerer, Warlock, Wizard|
spell-blindness-deafness|Core|spell|Blindness/Deafness|Spell level 2|2|Bard, Cleric, Sorcerer, Wizard|
spell-blink|Core|spell|Blink|Spell level 3|3|Sorcerer, Wizard|
spell-blur|Core|spell|Blur|Spell level 2|2|Sorcerer, Wizard|
spell-burning-hands|Core|spell|Burning Hands|Spell level 1|1|Sorcerer, Wizard|
spell-call-lightning|Core|spell|Call Lightning|Spell level 3|3|Druid|
spell-calm-emotions|Core|spell|Calm Emotions|Spell level 2|2|Bard, Cleric|
spell-chain-lightning|Core|spell|Chain Lightning|Spell level 6|6|Sorcerer, Wizard|
spell-charm-monster|Core|spell|Charm Monster|Spell level 4|4|Bard, Druid, Sorcerer, Warlock, Wizard|
spell-charm-person|Core|spell|Charm Person|Spell level 1|1|Bard, Druid, Sorcerer, Warlock, Wizard|
spell-chill-touch|Core|spell|Chill Touch|Spell level 0|0|Sorcerer, Warlock, Wizard|
spell-chromatic-orb|Core|spell|Chromatic Orb|Spell level 1|1|Sorcerer, Wizard|
spell-circle-of-death|Core|spell|Circle of Death|Spell level 6|6|Sorcerer, Warlock, Wizard|
spell-clairvoyance|Core|spell|Clairvoyance|Spell level 3|3|Bard, Cleric, Sorcerer, Wizard|
spell-clone|Core|spell|Clone|Spell level 8|8|Wizard|
spell-cloudkill|Core|spell|Cloudkill|Spell level 5|5|Sorcerer, Wizard|
spell-color-spray|Core|spell|Color Spray|Spell level 1|1|Bard, Sorcerer, Wizard|
spell-command|Core|spell|Command|Spell level 1|1|Bard, Cleric, Paladin|
spell-commune|Core|spell|Commune|Spell level 5|5|Cleric|
spell-commune-with-nature|Core|spell|Commune with Nature|Spell level 5|5|Druid, Ranger|
spell-comprehend-languages|Core|spell|Comprehend Languages|Spell level 1|1|Bard, Sorcerer, Warlock, Wizard|
spell-compulsion|Core|spell|Compulsion|Spell level 4|4|Bard|
spell-cone-of-cold|Core|spell|Cone of Cold|Spell level 5|5|Druid, Sorcerer, Wizard|
spell-confusion|Core|spell|Confusion|Spell level 4|4|Bard, Druid, Sorcerer, Wizard|
spell-conjure-animals|Core|spell|Conjure Animals|Spell level 3|3|Druid, Ranger|
spell-conjure-celestial|Core|spell|Conjure Celestial|Spell level 7|7|Cleric|
spell-conjure-elemental|Core|spell|Conjure Elemental|Spell level 5|5|Druid, Wizard|
spell-conjure-fey|Core|spell|Conjure Fey|Spell level 6|6|Druid|
spell-conjure-minor-elementals|Core|spell|Conjure Minor Elementals|Spell level 4|4|Druid, Wizard|
spell-conjure-woodland-beings|Core|spell|Conjure Woodland Beings|Spell level 4|4|Druid, Ranger|
spell-contact-other-plane|Core|spell|Contact Other Plane|Spell level 5|5|Warlock, Wizard|
spell-contagion|Core|spell|Contagion|Spell level 5|5|Cleric, Druid|
spell-contingency|Core|spell|Contingency|Spell level 6|6|Wizard|
spell-continual-flame|Core|spell|Continual Flame|Spell level 2|2|Cleric, Druid, Wizard|
spell-control-water|Core|spell|Control Water|Spell level 4|4|Cleric, Druid, Wizard|
spell-control-weather|Core|spell|Control Weather|Spell level 8|8|Cleric, Druid, Wizard|
spell-counterspell|Core|spell|Counterspell|Spell level 3|3|Sorcerer, Warlock, Wizard|
spell-create-food-and-water|Core|spell|Create Food and Water|Spell level 3|3|Cleric, Paladin|
spell-create-or-destroy-water|Core|spell|Create or Destroy Water|Spell level 1|1|Cleric, Druid|
spell-create-undead|Core|spell|Create Undead|Spell level 6|6|Cleric, Warlock, Wizard|
spell-creation|Core|spell|Creation|Spell level 5|5|Sorcerer, Wizard|
spell-cure-wounds|Core|spell|Cure Wounds|Spell level 1|1|Bard, Cleric, Druid, Paladin, Ranger|
